Action,Step,Balance,Positive,Negative,Reward
4,11,21.684087155774108,17,19,-0.06983981318832905
0,12,21.684087155774108,18,21,0.11839145148159735
5,13,21.684087155774108,19,23,0.05454341517899408
5,14,21.684087155774108,20,25,-0.11696483130823893
0,15,21.684087155774108,21,27,0.03557502944592106
3,16,21.684087155774108,22,29,-0.0850179902155988
4,17,21.684087155774108,23,31,0.0803347277090466
0,18,21.684087155774108,24,33,-0.09144824790404449
2,19,15.267861933212,25,36,-0.15440675030552653
3,20,15.267861933212,26,38,-0.08784574791743416
0,21,15.267861933212,27,40,-0.03031137975427367
0,22,15.267861933212,28,42,-0.09251525884594236
1,23,22.614788598532755,28,43,-0.07432413194783266
1,24,29.287817274304643,28,43,-0.10431988961293698
2,25,21.288103536464604,30,45,-0.15397094075902396
2,26,12.439527864078313,32,47,-0.17943752171024702
1,27,19.37639930797288,32,47,-0.17643825063420787
4,28,19.37639930797288,33,49,-0.10477840063896304
4,29,19.37639930797288,34,51,-0.14664568110823406
3,30,19.37639930797288,35,53,-0.18413161283759738
4,31,19.37639930797288,36,55,-0.0887277067577627
3,32,19.37639930797288,37,57,-0.11101997684172948
3,33,19.37639930797288,38,59,-0.10912070102966653
2,34,19.37639930797288,39,61,-0.1092027973698147
3,35,19.37639930797288,40,63,-0.1135907223158657
5,36,19.37639930797288,41,65,-0.1430437198766955
5,37,19.37639930797288,42,67,-0.12754288148727055
4,38,19.37639930797288,43,69,-0.1815095313674578
0,39,19.37639930797288,44,71,-0.17874635925723298
1,40,25.73371837989854,45,71,-0.1268900222017264
4,41,25.73371837989854,46,73,-0.1404811937008853
3,42,25.73371837989854,47,75,-0.11817614469869953
4,43,25.73371837989854,48,77,-0.07125844173631712
5,44,25.73371837989854,49,79,-0.14889584902212943
3,45,25.73371837989854,50,81,-0.05362152480044613
1,46,32.10343625108748,50,81,-0.06800464015505686
2,47,23.768954140363544,51,83,-0.163279620101009
2,48,13.398142618741328,51,84,-0.1458844359648399
3,49,13.398142618741328,52,86,-0.11203515665160146
1,50,17.780960337343615,52,86,-0.06621873022943803
5,51,17.780960337343615,53,88,-0.08577321824123507
0,2,100.0,2,3,-0.3301655255022321
2,3,82.86321410550431,3,6,-0.09704327951386593
3,4,63.048161795019105,4,6,-0.19601962293515868
2,5,53.096401233978604,7,8,-0.16806869964483123
5,6,10.436528907628626,14,10,0.1222648982148169
3,7,10.436528907628626,15,12,0.10889285272776317
1,8,22.295338763568672,16,14,0.09285247898190252
5,9,22.295338763568672,17,16,-0.019256878443776604
3,10,22.295338763568672,18,18,-0.0992823232808619
4,11,22.295338763568672,19,20,0.08806949249830687
3,12,22.295338763568672,20,22,-0.02338099265166521
3,13,22.295338763568672,21,24,0.061008686604484774
4,14,22.295338763568672,22,26,0.049334637477897236
2,15,16.4052393233849,25,28,0.07095084407502117
3,16,16.4052393233849,26,30,0.06611352878548848
3,17,16.4052393233849,27,32,-0.07008101898593466
3,18,16.4052393233849,28,34,0.03317343943354922
0,19,16.4052393233849,29,36,-0.15707618010169733
2,20,16.4052393233849,30,38,0.02689973652014177
2,21,16.4052393233849,31,40,0.05602429437371215
3,22,16.4052393233849,32,42,-0.017110155704016028
2,23,16.4052393233849,33,44,-0.08370692970536009
3,24,16.4052393233849,34,46,-0.06849416118371432
1,25,20.71597167491106,34,46,-0.07199828209126446
2,26,12.710453760944166,34,48,-0.11951486007764256
2,27,12.710453760944166,35,50,-0.13891224713310296
2,28,12.710453760944166,36,52,-0.16091405001600506
3,29,12.710453760944166,37,54,-0.06355926482888186
5,30,12.710453760944166,38,56,-0.0567071447375464
1,31,18.784321948730735,39,56,-0.1018404749242039
5,32,18.784321948730735,40,58,-0.07053568706056151
3,33,18.784321948730735,41,60,-0.07904238955536397
2,34,18.784321948730735,42,62,-0.026027540578374364
5,35,18.784321948730735,43,64,-0.10921249803384109
3,36,18.784321948730735,44,66,-0.0983708885414652
2,37,18.784321948730735,45,68,-0.06406570669313816
3,38,18.784321948730735,46,70,-0.09655311821267837
3,39,18.784321948730735,47,72,-0.12670109568509785
4,40,18.784321948730735,48,74,-0.09893091354557498
0,41,18.784321948730735,49,76,-0.15988923839669672
2,42,18.784321948730735,50,78,-0.039771216980157564
0,43,18.784321948730735,51,80,-0.1289045558428718
4,44,18.784321948730735,52,82,-0.11170441951694488
1,45,24.514755561608226,52,83,-0.0755015068430156
3,46,24.514755561608226,53,85,-0.08569593518491198
1,47,31.320192622635627,54,85,-0.09772452110499946
4,48,31.320192622635627,55,87,-0.06727725830647291
4,49,31.320192622635627,56,89,-0.10641136981876298
5,50,31.320192622635627,57,91,-0.09975940507905551
3,51,12.329397346044875,59,91,-0.1860185468984109
1,2,121.74169641302169,1,2,-0.3306396976792443
5,3,84.9801822947841,8,6,0.12794079611362985
0,4,84.9801822947841,9,8,0.19735922179481113
3,5,71.9750173592264,11,9,0.07233641294735926
0,6,71.9750173592264,12,11,-0.03740194934933827
4,7,55.68452720389584,15,15,0.0521301305105033
2,8,48.13634360439433,16,16,-0.039460705821428965
0,9,48.13634360439433,17,18,0.04626676538073182
3,10,35.035106959703384,17,19,-0.08852739309908769
5,11,35.035106959703384,18,21,-0.17620945768188112
1,12,46.517894246875656,18,22,-0.009516952019396674
0,13,46.517894246875656,19,24,-0.2206109454194658
5,14,46.517894246875656,20,26,-0.023577395789330713
2,15,40.08981237490747,21,29,-0.15975764878402038
5,16,40.08981237490747,22,31,-0.026715997257813373
3,17,24.389500619932775,23,31,-0.1580375074185848
1,18,35.76844869761909,23,32,-0.19314992768092493
5,19,35.76844869761909,24,34,-0.048481594626480995
0,20,35.76844869761909,25,36,-0.19934238641616758
4,21,16.325371014490564,29,39,-0.0057847798019947105
5,22,16.325371014490564,30,41,-0.07624785077775947
1,23,26.68097401488245,31,42,-0.21221110891735884
4,24,26.68097401488245,32,44,-0.12733137842930514
5,25,26.68097401488245,33,46,-0.04408287678927236
5,26,26.68097401488245,34,48,-0.16481666644932808
2,27,19.457116522569237,35,48,-0.05010323160750324
5,28,19.457116522569237,36,50,-0.08116674186845346
1,29,28.313943313891173,36,51,-0.11962085249541049
4,30,28.313943313891173,37,53,-0.1220216005291902
3,31,12.307863721982939,38,55,-0.16398866566802295
3,32,12.307863721982939,39,57,-0.10941427315242391
1,33,19.630347710408223,39,57,-0.17163351832288987
1,34,25.991592714003826,39,60,-0.07082849423786614
2,35,16.892549722257183,42,62,-0.04237479040645542
5,36,16.892549722257183,43,64,-0.02953597074600378
1,37,24.95162487881361,43,64,-0.06515975524799417
2,38,17.07208536554073,45,66,-0.06906681431135148
2,39,17.07208536554073,46,68,-0.11364417367420315
2,40,17.07208536554073,47,70,-0.12920458489409825
3,41,17.07208536554073,48,72,-0.0012004850786393462
1,42,22.542283369412942,48,73,-0.06792391640215611
0,43,22.542283369412942,49,75,-0.08396485234624912
1,44,27.673523672642297,49,75,-0.11556831384660943
3,45,27.673523672642297,50,77,-0.1035467624686972
5,46,27.673523672642297,51,79,-0.13413894253226777
0,47,27.673523672642297,52,81,-0.10169682670575403
5,48,27.673523672642297,53,83,-0.11410396353480684
5,49,27.673523672642297,54,85,-0.09599328455661121
4,50,27.673523672642297,55,87,-0.11945580185986876
4,51,27.673523672642297,56,89,-0.1384739854619252
2,2,91.06886231993839,4,4,-0.31233685342830764
1,3,94.97915088253795,5,5,0.07552500264963413
5,4,62.08437680842456,9,7,0.04760505251989422
3,5,50.560564212705344,11,7,0.12992498725321477
3,6,39.714555859382116,12,7,-0.0499358829431209
0,7,39.714555859382116,13,9,0.11615491454363036
3,8,24.59693482998226,14,11,-0.0612218148937147
4,9,24.59693482998226,15,13,0.20495949147740677
3,10,24.59693482998226,16,15,-0.07405619229260763
2,11,22.457060910113135,16,16,0.02911595484501217
0,12,22.457060910113135,17,18,0.06190945534996051
1,13,29.29549110236054,17,19,0.05684486733611649
5,14,29.29549110236054,18,21,-0.01259458104835931
4,15,29.29549110236054,19,23,0.0118634235108801
0,16,29.29549110236054,20,25,-0.08821816609501215
4,17,29.29549110236054,21,27,-0.06566293913956511
0,18,29.29549110236054,22,29,-0.21967954530884104
2,19,24.8068856727162,22,32,-0.055499181567047806
5,20,24.8068856727162,23,34,0.020070376695400682
2,21,13.058478995460503,27,35,-0.06312807837252976
2,22,13.058478995460503,28,37,-0.16666147487458455
1,23,22.829228079546702,28,38,-0.00723613260029321
2,24,17.843032340629208,30,39,-0.011662990254770966
3,25,17.843032340629208,31,41,0.018106981016958734
2,26,17.843032340629208,32,43,-0.13500869923727166
1,27,27.161911386829512,33,44,-0.012928227946979953
4,28,27.161911386829512,34,46,-0.02911440054588993
0,29,27.161911386829512,35,48,0.0458398644621556
3,30,27.161911386829512,36,50,0.022566127267160008
4,31,27.161911386829512,37,52,-0.054048688434286396
1,32,34.36507595710634,37,52,-0.07133399465241425
3,33,18.58415365231137,37,52,0.0102088477780935
0,34,18.58415365231137,38,54,-0.12986560901893618
0,35,18.58415365231137,39,56,-0.09459233438359121
4,36,18.58415365231137,40,58,-0.1251063530404799
1,37,25.064348350003428,42,58,-0.05563412219872321
1,38,32.09847404182338,42,59,-0.02113435867486735
2,39,26.01229173919858,44,59,-0.10718419519000993
4,40,26.01229173919858,45,61,-0.0864449884398501
2,41,18.22289247057295,46,62,-0.17192098555890983
1,42,24.560135621100844,47,63,0.020138589578424293
2,43,16.593599061753388,47,67,-0.06378680426780625
0,44,16.593599061753388,48,69,-0.09643029599486652
4,45,16.593599061753388,49,71,-0.15749410564674982
1,46,25.01935209808962,49,71,-0.08161575321064773
4,47,25.01935209808962,50,73,-0.07460109481562699
1,48,29.777661427350203,50,73,-0.143104081758627
4,49,29.777661427350203,51,75,-0.08785840847005288
4,50,29.777661427350203,52,77,-0.13620110488848008
5,51,29.777661427350203,53,79,-0.07762770747720754
3,2,76.58256623567246,5,1,0.4441338368225345
1,3,92.2604905398465,5,1,0.4672665442363726
5,4,66.27056743205242,10,2,0.31918952058194705
5,5,43.976238158355095,20,3,0.29535118502445046
0,6,43.976238158355095,21,5,0.2658002455409235
4,7,35.6445198954011,24,6,0.31965231178724707
2,8,37.127426438309016,26,7,0.35363181475384087
4,9,23.367929366693485,28,7,0.3200699461049603
0,10,23.367929366693485,29,9,0.29389744934589823
1,11,35.15206347390064,29,10,0.15586966534010005
2,12,37.87951344651658,30,12,0.07530075717279272
0,13,37.87951344651658,31,14,0.21641722093580773
4,14,23.680477016122584,32,15,0.18483602954892298
3,15,23.680477016122584,33,17,0.14373403362686843
3,16,23.680477016122584,34,19,0.14541816048927936
5,17,23.680477016122584,35,21,0.18443977134611456
1,18,35.49031568165472,35,21,0.03760645120493744
5,19,35.49031568165472,36,23,0.025145086959119656
5,20,35.49031568165472,37,25,0.1678815738195617
3,21,23.21530078301303,37,25,0.17145229113316074
2,22,19.116405459404135,37,28,0.09736414057733456
5,23,19.116405459404135,38,30,0.02861801390324581
1,24,30.080248692579275,39,30,0.0520120283772626
4,25,30.080248692579275,40,32,0.09674811989983001
0,26,30.080248692579275,41,34,0.07206405776314084
5,27,30.080248692579275,42,36,0.011916666418428812
4,28,30.080248692579275,43,38,0.10173125626125346
3,29,16.26101168361734,43,39,0.06314049049326043
1,30,25.42483379457728,43,39,0.04867693465606149
4,31,25.42483379457728,44,41,0.1040521737529535
4,32,25.42483379457728,45,43,-0.08341833071923155
2,33,18.684460255485654,46,44,0.03961588029218521
4,34,18.684460255485654,47,46,-0.01457965197909622
3,35,18.684460255485654,48,48,-0.012169365196866733
5,36,18.684460255485654,49,50,-0.04859083745646958
3,37,18.684460255485654,50,52,0.007878315240288702
5,38,18.684460255485654,51,54,-0.016925394211352807
0,39,18.684460255485654,52,56,0.011419543743347305
2,40,18.684460255485654,53,58,-0.02308440761952546
0,41,18.684460255485654,54,60,-0.02421968760012183
1,42,27.745705882822826,54,61,0.006770081303902553
3,43,27.745705882822826,55,63,-0.059249390024530446
2,44,20.907244031760513,56,63,-0.01804212397052002
1,45,30.09095760477876,57,64,-0.041223048035752
1,46,38.805826928282016,57,64,-0.040571432460758505
1,47,46.055746019784856,57,64,-0.11734726068954227
5,48,46.055746019784856,58,66,-0.04847030936731711
1,49,56.638366557200754,58,67,-0.1167308704367161
0,50,56.638366557200754,59,69,-0.0036400483761565017
5,51,20.085710380003704,64,74,-0.017878512962984594
4,2,75.5302657154625,4,3,0.11745132971704597
3,3,71.99280653589945,5,3,0.10872314070410283
5,4,44.01538656915098,9,4,0.025886402066498726
5,5,44.01538656915098,10,6,0.04514376416484167
1,6,53.95043241486682,10,7,0.19715835242668
0,7,53.95043241486682,11,9,0.10532029159326162
1,8,57.51923605788296,11,9,0.10780359797940986
3,9,48.667380908593,13,9,0.11897578264483855
3,10,38.67299144333243,14,9,0.19867467744577727
1,11,50.48010241044925,15,9,0.11417219776078924
1,12,63.10632861557799,15,10,0.14349608028008354
5,13,28.991993723557243,19,14,-0.029080169763137043
3,14,14.07140798201907,20,17,-0.028558827624921845
5,15,14.07140798201907,21,19,-0.03769983450794662
1,16,26.023035209040167,24,19,0.0447786189443069
1,17,38.27853823184415,24,19,0.118536788191268
2,18,33.22019103233704,26,20,0.1134713810964797
2,19,29.38407282619441,30,22,0.0774357121785445
4,20,29.38407282619441,31,24,0.06199953615255738
4,21,29.38407282619441,32,26,-0.00029043388313026997
4,22,29.38407282619441,33,28,-0.009548799650355544
3,23,16.66020851393266,33,28,0.01314916019080048
4,24,16.66020851393266,34,30,0.05691275556996478
3,25,16.66020851393266,35,32,-0.0074492612372712985
4,26,16.66020851393266,36,34,0.03643232656627482
5,27,16.66020851393266,37,36,0.01393833471852246
0,28,16.66020851393266,38,38,0.01618821742024168
5,29,16.66020851393266,39,40,0.0943752260537275
5,30,16.66020851393266,40,42,0.014686698546334975
2,31,16.66020851393266,41,44,0.040785674423146845
0,32,16.66020851393266,42,46,0.019822138783520904
0,33,16.66020851393266,43,48,0.03399195793231702
1,34,27.83440400872014,43,50,-0.08428761681825708
5,35,27.83440400872014,44,52,-0.07237966585177164
2,36,21.692221281586953,45,53,0.010352375310242135
4,37,21.692221281586953,46,55,-0.05170725232799228
2,38,14.87027535855246,46,56,-0.05236861505110185
3,39,14.87027535855246,47,58,-0.08771964610393579
1,40,22.363376801915482,49,58,-0.08099249916667267
1,41,31.075474096073755,49,58,-0.017890434472808803
3,42,14.515966122034152,50,60,-0.057467411517101274
0,43,14.515966122034152,51,62,-0.05121414113553441
4,44,14.515966122034152,52,64,0.0038483491672435255
5,45,14.515966122034152,53,66,0.008664498666084763
1,46,22.866167443925896,53,66,-0.04732355641447766
0,47,22.866167443925896,54,68,-0.09749755348750844
3,48,22.866167443925896,55,70,-0.12079287584226317
1,49,31.615873234867543,55,71,-0.03532463003732039
4,50,31.615873234867543,56,73,-0.023694308362484207
5,51,31.615873234867543,57,75,-0.035399780257112046
3,2,94.40430275187475,2,4,0.20621142154180294
1,3,97.57359504672563,2,4,-0.38432374245350065
3,4,85.51031168768783,3,4,-0.31044435112513613
5,5,42.412197414417726,8,9,0.06967629739212067
3,6,32.65794642457968,9,9,0.08785382155461974
2,7,30.053398361608746,12,12,-0.1298526256652408
1,8,46.21750480882223,12,12,-0.008220475454011666
4,9,26.796787174944953,14,14,-0.0025332610817915824
4,10,26.796787174944953,15,16,-0.020784407425405493
0,11,26.796787174944953,16,18,-0.10641945626839622
3,12,26.796787174944953,17,20,-0.015361052073300518
2,13,21.568470961186627,17,22,-0.009965305107354105
2,14,13.98762320053206,18,24,-0.023173888017738398
5,15,13.98762320053206,19,26,-0.11585399908407912
1,16,20.542173411046036,19,26,0.1654765866665927
5,17,20.542173411046036,20,28,-0.07024515356898547
4,18,20.542173411046036,21,30,-0.057064480528130235
5,19,20.542173411046036,22,32,-0.04464257386706366
4,20,20.542173411046036,23,34,-0.14851356414955907
4,21,20.542173411046036,24,36,-0.10671404815120705
0,22,20.542173411046036,25,38,-0.11417575674036251
3,23,20.542173411046036,26,40,-0.12023770667269806
3,24,20.542173411046036,27,42,-0.11962094690035685
5,25,20.542173411046036,28,44,-0.14592222112762648
4,26,20.542173411046036,29,46,-0.14230449192465638
3,27,20.542173411046036,30,48,-0.13887295398466343
2,28,13.401611325747737,32,50,-0.06706204486964856
4,29,13.401611325747737,33,52,-0.01939395748351197
5,30,13.401611325747737,34,54,-0.07644065777257592
3,31,13.401611325747737,35,56,-0.12049008797944233
4,32,13.401611325747737,36,58,-0.11755043609826993
5,33,13.401611325747737,37,60,-0.037866419561932874
4,34,13.401611325747737,38,62,-0.07589745608331472
4,35,13.401611325747737,39,64,-0.14115627857648028
2,36,13.401611325747737,40,66,-0.1407711698468211
5,37,13.401611325747737,41,68,-0.08945083309482921
1,38,15.41461846198682,41,69,-0.18603178747001686
1,39,20.92398759177277,41,69,-0.09996500318337115
5,40,20.92398759177277,42,71,-0.09371245562286235
2,41,11.718457943037707,45,73,-0.05487044125937279
2,42,11.718457943037707,46,75,-0.17873192755816175
0,43,11.718457943037707,47,77,-0.18226182723190787
4,44,11.718457943037707,48,79,-0.15331292119675827
2,45,11.718457943037707,49,81,-0.09100887159885451
5,46,11.718457943037707,50,83,-0.17530640714000845
0,47,11.718457943037707,51,85,-0.09091992036456842
2,48,11.718457943037707,52,87,-0.0766053411304663
5,49,11.718457943037707,53,89,-0.14799806843898416
0,50,11.718457943037707,54,91,-0.07547550374635487
3,51,11.718457943037707,55,93,-0.17471997532065703
4,2,82.49167546760194,3,3,0.35447487211639583
5,3,48.98149551681561,9,6,0.19964339354866378
4,4,31.35955121712602,9,9,0.02312562662156803
1,5,50.881834288304276,9,9,0.18779769960737158
2,6,44.76171262229062,9,11,0.0814461792314558
5,7,44.76171262229062,10,13,-0.11904565129641681
5,8,44.76171262229062,11,15,0.014118713367113012
0,9,44.76171262229062,12,17,-0.19117597655778007
1,10,48.622072410427364,14,18,-0.03360887575929766
2,11,40.330765759011015,15,22,-0.21114291884191788
2,12,31.17045560293147,16,25,-0.007883326642789179
4,13,31.17045560293147,17,27,0.027137867255117798
2,14,22.997115383801237,19,27,-0.0903480860724955
1,15,29.823741813413918,19,28,-0.16974786166313643
5,16,29.823741813413918,20,30,-0.08553160589365727
2,17,22.68701510490408,21,30,-0.029913803448751775
5,18,22.68701510490408,22,32,-0.06157629848662283
1,19,31.09161943123452,22,33,-0.06726068719136663
1,20,39.41172123300878,22,33,-0.0709160357513387
1,21,43.55578018269836,22,33,-0.2269764595602225
0,22,43.55578018269836,23,35,-0.014153577477145851
4,23,19.27876097879927,25,38,-0.03654923719809028
1,24,25.824310640329145,25,39,-0.1599213810175863
1,25,32.52898387975367,25,43,-0.1555770082623789
1,26,38.096645672917184,25,45,-0.06159440717625053
1,27,42.37587546155641,25,46,-0.14787597392990492
0,28,42.37587546155641,26,48,-0.18252380697854664
3,29,24.869990416892165,26,49,-0.12370885613741434
2,30,14.852987694972425,28,49,-0.24355278397019087
4,31,14.852987694972425,29,51,-0.13425493844009256
1,32,20.600958574790436,29,53,-0.26319978596402904
1,33,25.571032413954043,29,54,-0.09187979298238047
0,34,25.571032413954043,30,56,-0.19404294622411672
5,35,25.571032413954043,31,58,-0.14808039214086716
2,36,15.401626413816174,33,60,-0.07680833631757344
1,37,21.912272949797334,33,60,-0.15450261743791371
1,38,24.790742211286073,34,60,-0.08539903737536109
0,39,24.790742211286073,35,62,-0.16315466620948949
3,40,24.790742211286073,36,64,-0.15072051998370845
2,41,14.519729890015357,39,65,-0.05565814219772547
0,42,14.519729890015357,40,67,-0.1758288337190661
0,43,14.519729890015357,41,69,-0.11432818316475207
5,44,14.519729890015357,42,71,-0.1485483730155716
